Date,Location,New_Cases,New_Deaths,Total_Cases,Total_Deaths
25-02-2020,Afghanistan,,,1,
26-02-2020,Afghanistan,0,,1,
27-02-2020,Afghanistan,0,,1,
28-02-2020,Afghanistan,0,,1,
29-02-2020,Afghanistan,0,,1,
01-03-2020,Afghanistan,0,,1,
02-03-2020,Afghanistan,0,,1,
03-03-2020,Afghanistan,0,,1,
04-03-2020,Afghanistan,0,,1,
05-03-2020,Afghanistan,0,,1,
06-03-2020,Afghanistan,0,,1,
07-03-2020,Afghanistan,0,,1,
08-03-2020,Afghanistan,3,,4,
09-03-2020,Afghanistan,0,,4,
10-03-2020,Afghanistan,0,,4,
11-03-2020,Afghanistan,0,,4,
09-03-2020,Albania,,,2,
10-03-2020,Albania,0,,2,
11-03-2020,Albania,8,,10,
26-02-2020,Algeria,,,1,
27-02-2020,Algeria,0,,1,
28-02-2020,Algeria,0,,1,
29-02-2020,Algeria,0,,1,
01-03-2020,Algeria,0,,1,
02-03-2020,Algeria,0,,1,
03-03-2020,Algeria,4,,5,
04-03-2020,Algeria,0,,5,
05-03-2020,Algeria,7,,12,
06-03-2020,Algeria,0,,12,
07-03-2020,Algeria,5,,17,
08-03-2020,Algeria,0,,17,
09-03-2020,Algeria,3,,20,
10-03-2020,Algeria,0,,20,
11-03-2020,Algeria,0,,20,
03-03-2020,Andorra,,,1,
04-03-2020,Andorra,0,,1,
05-03-2020,Andorra,0,,1,
06-03-2020,Andorra,0,,1,
07-03-2020,Andorra,0,,1,
08-03-2020,Andorra,0,,1,
09-03-2020,Andorra,0,,1,
10-03-2020,Andorra,0,,1,
11-03-2020,Andorra,0,,1,
04-03-2020,Argentina,,,1,
05-03-2020,Argentina,0,,1,
06-03-2020,Argentina,0,,1,
07-03-2020,Argentina,1,,2,
08-03-2020,Argentina,7,,9,1
09-03-2020,Argentina,3,0,12,1
10-03-2020,Argentina,0,0,12,1
11-03-2020,Argentina,5,0,17,1
02-03-2020,Armenia,,,1,
03-03-2020,Armenia,0,,1,
04-03-2020,Armenia,0,,1,
05-03-2020,Armenia,0,,1,
06-03-2020,Armenia,0,,1,
07-03-2020,Armenia,0,,1,
08-03-2020,Armenia,0,,1,
